x,y,Name,Genre,Critic_Score,User_Score,Global_Sales,Year
1.8483196838740679,1.2657398126073287,Guild Wars,Role-Playing,8.7,8.4,6.5,2005.0
2.56674090349569,1.0178752830820377,Red Dead Redemption,Action,9.5,9.0,6.5,2010.0
1.0532440599266617,1.8397195280380272,The Elder Scrolls V: Skyrim,Role-Playing,9.0,6.5,6.49,2011.0
1.9516459055086732,1.3400208491173218,Final Fantasy XII,Role-Playing,9.4,7.9,6.4,2006.0
0.9651168962169121,1.5519272146616507,Tomodachi Life,Simulation,7.8,7.6,6.4,2014.0
1.2292487018044023,1.5960500523094179,Halo 3: ODST,Shooter,8.7,7.2,6.35,2009.0
0.11130167816775324,2.1349867763834616,FIFA 15,Sports,8.1,5.6,6.32,2014.0
2.019104803304648,1.0270270093251077,Kingdom Hearts,Role-Playing,8.5,9.0,6.3,2002.0
2.6382091722122305,0.8810195453443992,The Last of Us,Action-Adventure,9.5,9.2,6.27,2013.0
0.8317170782638553,1.5105942140504036,Big Brain Academy,Misc,7.7,7.5,6.15,2006.0
2.410712025992297,0.9365869378313456,Metal Gear Solid 2: Sons of Liberty,Action,9.5,8.8,6.05,2001.0
2.299941267589576,0.9352092818595427,Metal Gear Solid 4: Guns of the Patriots,Action,9.3,8.8,6.0,2008.0
1.8292070989897522,1.018978534773861,Euro Truck Simulator 2,Simulation,8.5,8.7,5.98,2013.0
2.136403237918553,0.9767401556089905,Super Mario Sunshine,Platform,9.2,8.6,5.91,2002.0
1.3328682144086703,1.5104751851687175,LittleBigPlanet,Platform,9.4,6.8,5.85,2008.0
2.4296583924296478,0.8248510524869015,Super Mario 3D World,Platform,9.5,8.9,5.8,2013.0
0.16859812862011134,1.5798989899726394,Link's Crossbow Training,Shooter,6.9,7.1,5.79,2007.0
1.4506073067439207,1.1481568132144204,New Super Mario Bros. U,Platform,8.4,8.1,5.77,2012.0
1.7528125987957128,1.0009350413071934,Luigi's Mansion: Dark Moon,Adventure,8.6,8.5,5.75,2013.0
2.3637029371299305,0.7968942141274592,Super Mario World: Super Mario Advance 2,Platform,9.4,8.9,5.69,2002.0
1.5780660304251204,0.9214425162122006,LEGO Star Wars: The Complete Saga,Action,8.0,8.8,5.66,2007.0
0.0956721811115403,1.4971167896345876,Cooking Mama,Simulation,6.6,7.3,5.66,2006.0
2.4573095274185857,0.7355711756853738,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,9.5,9.0,5.62,2011.0
0.9209048684721932,1.3509459776085941,Super Mario Advance,Platform,8.2,7.3,5.57,2001.0
1.9895698669449686,0.8823304642451053,Assassin's Creed II,Action,9.0,8.6,5.57,2009.0
1.1185570939438274,1.2183865558316478,Assassin's Creed,Action,8.2,7.7,5.55,2007.0
2.34953327714207,0.797183555358986,Batman: Arkham City,Action,9.6,8.7,5.54,2011.0
1.8352440372227143,1.0028913797420493,Forza Motorsport 3,Racing,9.2,8.1,5.5,2009.0
1.7217241396828995,0.9207350107967779,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,8.6,8.5,5.5,2010.0
2.385627118274527,0.655996976567739,Final Fantasy IX,Role-Playing,9.2,9.2,5.5,2000.0
1.0645462843110147,1.2580870843324807,Final Fantasy X-2,Role-Playing,8.3,7.5,5.5,2003.0
1.1581528745996705,1.196764045890396,Call of Duty: World at War,Shooter,8.4,7.6,5.43,2008.0
2.2268178730724455,0.7281485325269066,Super Mario Advance 4: Super Mario Bros. 3,Platform,9.2,8.9,5.43,2003.0
0.17262203468331258,1.4296670899831958,Crash Bandicoot: The Wrath of Cortex,Platform,6.9,7.2,5.42,2001.0
0.7389591323225941,1.3265681557237365,Final Fantasy XIII,Role-Playing,8.0,7.2,5.35,2010.0
0.845753906642667,1.3361104853623442,Gran Turismo 5 Prologue,Racing,8.3,7.1,5.35,2008.0
2.2669043917065097,0.6709486679295459,Super Smash Bros. for Wii U,Fighting,9.2,9.0,5.35,2014.0
2.108340515493539,0.7253115465606593,Assassin's Creed II,Action,9.1,8.8,5.3,2009.0
0.41684053301964263,1.330310520243607,Super Mario Party,Party,7.3,7.3,5.3,2018.0
0.41062284119707987,1.314270514141524,Just Dance 2,Misc,7.3,7.3,5.25,2010.0
2.1086025779016087,0.7996742570932949,Madden NFL 2004,Sports,9.5,8.4,5.23,2003.0
0.029030699101367234,1.79898014684138,Call of Duty: Advanced Warfare,Shooter,8.3,5.5,5.22,2014.0
1.580110291156476,0.8213686469865047,Fallout: New Vegas,Role-Playing,8.3,8.6,5.22,2010.0
1.827797342178275,0.6572733703755307,Kingdom Hearts II,Role-Playing,8.3,9.1,5.2,2006.0
2.1481816651384924,0.685900359291353,God of War III,Action,9.2,8.8,5.2,2010.0
0.9647532307613891,1.0691515024891536,Nintendo Land,Party,7.8,7.9,5.19,2012.0
1.9881288815718974,0.7548439140301043,Guitar Hero II,Misc,9.2,8.5,5.12,2006.0
1.1716343496007497,1.107773510320395,Resident Evil 5,Action,8.6,7.5,5.1,2009.0
0.25307382777846893,1.481781459181799,Fable III,Role-Playing,7.8,6.5,5.1,2010.0
0.08503568920865996,1.3827515855327799,Mario & Sonic at the Olympic Games,Sports,7.0,7.0,5.1,2008.0
1.3648031595925554,0.926804729005673,Grand Theft Auto: Vice City Stories,Action,8.4,8.1,5.08,2006.0
1.471597933912628,0.9363470586442806,FIFA Soccer 11,Sports,8.7,8.0,5.08,2010.0
0.9565558936069811,1.103269527150818,Final Fantasy XV,Role-Playing,8.1,7.6,5.07,2016.0
0.5079934334171915,1.4468742550820692,Fallout 4,Role-Playing,8.4,6.4,5.03,2015.0
1.9776898366775761,0.7647572589228806,Gears of War,Shooter,9.4,8.3,5.0,2006.0
